Player,Span,Mat,Inns,NO,Runs,HS,Ave,hundreds,fiftys,duck
"LE Favell (AUS)",1954-1961,19,31,3,757,101,27.03,1,5,2
"HD Rutherford (NZ)",2013-2015,16,29,1,755,171,26.96,1,1,2
"RR Pant (INDIA)",2018-2019,11,18,1,754,159*,44.35,2,2,1
"Mohammad Amir (PAK)",2009-2019,36,67,11,751,48,13.41,0,0,7
"GOB Allen (ENG)",1930-1948,25,33,2,750,122,24.19,1,3,1
"S Venkataraghavan (INDIA)",1965-1983,57,76,12,748,64,11.68,0,2,13
"Nasim-ul-Ghani (PAK)",1958-1973,29,50,5,747,101,16.6,1,2,8
"R Abel (ENG)",1888-1902,13,22,2,744,132*,37.2,2,2,1
"Haris Sohail (PAK)",2017-2019,13,22,1,744,147,35.42,2,2,1
"Liton Das (BDESH)",2015-2019,18,31,1,744,94,24.8,0,4,1
"SJ Harmison (ENG/ICC)",2002-2009,63,86,23,743,49*,11.79,0,0,21
"GAR Lock (ENG)",1952-1968,49,63,9,742,89,13.74,0,3,8
"MJ Santner (NZ)",2015-2019,22,29,0,741,126,25.55,1,2,2
"PL Symcox (SA)",1993-1998,20,27,1,741,108,28.5,1,4,1
"RS Modi (INDIA)",1946-1952,10,17,1,736,112,46,1,6,0
"EAS Prasanna (INDIA)",1962-1978,49,84,20,735,37,11.48,0,0,15
"FR Brown (ENG)",1931-1953,22,30,1,734,79,25.31,0,5,1
"RW Morgan (NZ)",1965-1972,20,34,1,734,97,22.24,0,5,5
"JJ Lyons (AUS)",1887-1897,14,27,0,731,134,27.07,1,3,1
"J Arun Lal (INDIA)",1982-1989,16,29,1,729,93,26.03,0,6,1
"MD Bell (NZ)",1998-2008,18,32,2,729,107,24.3,2,3,7
"DJ Nash (NZ)",1992-2001,32,45,14,729,89*,23.51,0,4,5
"W Barnes (ENG)",1880-1890,21,33,2,725,134,23.38,1,5,3
"N Deonarine (WI)",2005-2013,18,30,2,725,82,25.89,0,5,3
"DJ Malan (ENG)",2017-2018,15,26,0,724,140,27.84,1,6,1
"CB van Ryneveld (SA)",1951-1958,19,33,6,724,83,26.81,0,3,2
"CS Dempster (NZ)",1930-1933,10,15,4,723,136,65.72,2,5,0
"WW Read (ENG)",1882-1893,18,27,1,720,117,27.69,1,5,0
"NV Knight (ENG)",1995-2001,17,30,0,719,113,23.96,1,4,1
"Asim Kamal (PAK)",2003-2005,12,20,1,717,99,37.73,0,8,2
"AV Bedser (ENG)",1946-1955,51,71,15,714,79,12.75,0,1,11
"RG Archer (AUS)",1953-1956,19,30,1,713,128,24.58,1,2,4
"DG Brownlie (NZ)",2011-2013,14,25,1,711,109,29.62,1,4,3
"JDS Neesham (NZ)",2014-2017,12,22,1,709,137*,33.76,2,4,2
"D Bishoo (WI)",2011-2018,36,61,15,707,45,15.36,0,0,10
"VY Richardson (AUS)",1924-1936,19,30,0,706,138,23.53,1,1,5
"I Sharma (INDIA)",2007-2019,96,127,43,703,57,8.36,0,1,31
"W Bruce (AUS)",1885-1895,14,26,2,702,80,29.25,0,5,1
"ARS Silva (SL)",2017-2019,12,23,3,702,109,35.1,1,5,2
"Yasir Shah (PAK)",2014-2019,38,57,6,702,113,13.76,1,0,9
"EJG Morgan (ENG)",2010-2012,16,24,1,700,130,30.43,2,3,4
"M Ntini (SA)",1998-2009,101,116,45,699,32*,9.84,0,0,21
"EL Dalton (SA)",1929-1939,15,24,2,698,117,31.72,2,3,1
"WM Darling (AUS)",1978-1979,14,27,1,697,91,26.8,0,6,1
"DR Pringle (ENG)",1982-1992,30,50,4,695,63,15.1,0,1,6
"IC Davis (AUS)",1973-1977,15,27,1,692,105,26.61,1,4,3
"Hanumant Singh (INDIA)",1964-1969,14,24,2,686,105,31.18,1,5,3
"Al Sahariar (BDESH)",2000-2003,15,30,0,683,71,22.76,0,4,2
"CJ Anderson (NZ)",2013-2016,13,22,1,683,116,32.52,1,4,3
"FL Fane (ENG)",1906-1910,14,27,1,682,143,26.23,1,3,3
"VA Holder (WI)",1969-1979,40,59,11,682,42,14.2,0,0,7
"A Bacher (SA)",1965-1970,12,22,1,679,73,32.33,0,6,1
"JR Thomson (AUS)",1972-1985,51,73,20,679,49,12.81,0,0,14
"RW Chakabva (ZIM)",2011-2018,14,28,2,678,101,26.07,1,4,2
"JC Laker (ENG)",1948-1959,46,63,15,676,63,14.08,0,2,6
"JB Statham (ENG)",1951-1965,70,87,28,675,38,11.44,0,0,13
"DS Steele (ENG)",1975-1976,8,16,0,673,106,42.06,1,5,1
"J Garner (WI)",1977-1987,58,68,14,672,60,12.44,0,1,17
"H Verity (ENG)",1931-1939,40,44,12,669,66*,20.9,0,3,4
"BA Pocock (NZ)",1993-1997,15,29,0,665,85,22.93,0,6,4
"JJ Kelly (AUS)",1896-1905,36,56,17,664,46*,17.02,0,0,7
"DPB Morkel (SA)",1927-1932,16,28,1,663,88,24.55,0,4,3
"Hannan Sarkar (BDESH)",2002-2004,17,33,0,662,76,20.06,0,5,5
"AB Barath (WI)",2009-2012,15,28,0,657,104,23.46,1,4,2
"KD Boyce (WI)",1971-1976,21,30,3,657,95*,24.33,0,4,4
"W Bates (ENG)",1881-1887,15,26,2,656,64,27.33,0,5,0
"BS Bedi (INDIA)",1966-1979,67,101,28,656,50*,8.98,0,1,20
"JFM Morrison (NZ)",1973-1982,17,29,0,656,117,22.62,1,3,4
"Mushtaq Ahmed (PAK)",1990-2003,52,72,16,656,59,11.71,0,2,14
"Mansoor Akhtar (PAK)",1980-1990,19,29,3,655,111,25.19,1,3,4
"C Milburn (ENG)",1966-1969,9,16,2,654,139,46.71,2,2,1
"JH Wardle (ENG)",1948-1957,28,41,8,653,66,19.78,0,2,5
"AA Donald (SA)",1992-2002,72,94,33,652,37,10.68,0,0,17
"HJH Marshall (NZ)",2000-2006,13,19,2,652,160,38.35,2,2,1
"JL Denly (ENG)",2019-2019,11,21,0,651,94,31,0,6,0
"A Mishra (INDIA)",2008-2016,22,32,2,648,84,21.6,0,4,4
"KJ O'Keeffe (AUS)",1971-1977,24,34,9,644,85,25.76,0,1,3
"GD McGrath (AUS)",1993-2007,124,138,51,641,61,7.36,0,1,35
"GS Camacho (WI)",1968-1971,11,22,0,640,87,29.09,0,4,1
"PJ Cummins (AUS)",2011-2019,29,43,6,639,63,17.27,0,2,7
"AFG Griffith (WI)",1997-2000,14,27,1,638,114,24.53,1,4,4
"Mehidy Hasan Miraz (BDESH)",2016-2019,22,42,6,638,68*,17.72,0,2,2
"MT Renshaw (AUS)",2016-2018,11,20,1,636,184,33.47,1,3,0
"LN Constantine (WI)",1928-1939,18,33,0,635,90,19.24,0,4,4
"IR Bishop (WI)",1989-1998,43,63,11,632,48,12.15,0,0,10
"SC Cook (SA)",2016-2017,11,19,0,632,117,33.26,3,2,3
"HG Deane (SA)",1924-1931,17,27,2,628,93,25.12,0,3,1
"RG Twose (NZ)",1995-1999,16,27,2,628,94,25.12,0,6,5
"PN Kirsten (SA)",1992-1994,12,22,2,626,104,31.3,1,4,2
"TW Jarvis (NZ)",1965-1973,13,22,1,625,182,29.76,1,2,6
"M Kaif (INDIA)",2000-2006,13,22,3,624,148*,32.84,1,3,1
"PF Warner (ENG)",1899-1912,15,28,2,622,132*,23.92,1,3,4
"Fazal Mahmood (PAK)",1952-1962,34,50,6,620,60,14.09,0,1,10
"JAJ Christy (SA)",1929-1932,10,18,0,618,103,34.33,1,5,1
"UDU Chandana (SL)",1999-2005,16,24,1,616,92,26.78,0,2,0
"TA Boult (NZ)",2011-2019,65,80,38,615,52*,14.64,0,1,13
"TMK Mawoyo (ZIM)",2011-2016,11,22,1,615,163*,29.28,1,3,2
"RC Motz (NZ)",1961-1969,32,56,3,612,60,11.54,0,3,12
"S Mushtaq Ali (INDIA)",1934-1952,11,20,1,612,112,32.21,2,3,1
"RWV Robins (ENG)",1929-1937,19,27,4,612,108,26.6,1,4,4
"JC Watkins (SA)",1949-1957,15,27,1,612,92,23.53,0,3,2
"CS Baugh (WI)",2003-2012,21,36,2,610,68,17.94,0,3,1
"SM Curran (ENG)",2018-2019,14,25,4,610,78,29.04,0,3,3
"PM Pollock (SA)",1961-1970,28,41,13,607,75*,21.67,0,2,3
"JT Ikin (ENG)",1946-1955,18,31,2,606,60,20.89,0,3,4
"RJ Harris (AUS)",2010-2015,27,39,11,603,74,21.53,0,3,2
"RE Foster (ENG)",1903-1907,8,14,1,602,287,46.3,1,1,1
"DA Murray (WI)",1978-1982,19,31,3,601,84,21.46,0,3,3
"AG Steel (ENG)",1880-1888,13,20,3,600,148,35.29,2,0,1
"BAG Murray (NZ)",1968-1971,13,26,1,598,90,23.92,0,5,1
"TJE Andrews (AUS)",1921-1926,16,23,1,592,94,26.9,0,4,0
"Adnan Akmal (PAK)",2010-2014,21,29,5,591,64,24.62,0,3,2
"RG Barlow (ENG)",1881-1887,17,30,4,591,62,22.73,0,2,3
"HR Lance (SA)",1962-1970,13,22,1,591,70,28.14,0,5,1
"V Sibanda (ZIM)",2003-2014,14,28,0,591,93,21.1,0,2,3
"MD Craig (NZ)",2014-2016,15,25,9,589,67,36.81,0,3,1
"K Rabada (SA)",2015-2019,41,60,10,586,34,11.72,0,0,11
"MHN Walker (AUS)",1972-1977,34,43,13,586,78*,19.53,0,1,5
"Alok Kapali (BDESH)",2002-2006,17,34,1,584,85,17.69,0,2,6
"Aftab Ahmed (BDESH)",2004-2010,16,31,3,582,82*,20.78,0,1,4
"MP Donnelly (NZ)",1937-1949,7,12,1,582,206,52.9,1,4,2
"PA Gibb (ENG)",1938-1946,8,13,0,581,120,44.69,2,3,1
"MLC Foster (WI)",1969-1978,14,24,5,580,125,30.52,1,1,0
"Umar Gul (PAK)",2003-2013,47,67,9,577,65*,9.94,0,1,15
"MN Waller (ZIM)",2011-2017,14,28,1,577,72*,21.37,0,4,4
"A Jadeja (INDIA)",1992-2000,15,24,2,576,96,26.18,0,4,1
"RS Bopara (ENG)",2007-2012,13,19,1,575,143,31.94,3,0,5
"TT Bresnan (ENG)",2009-2013,23,26,4,575,91,26.13,0,3,3
"AD Hales (ENG)",2015-2016,11,21,0,573,94,27.28,0,5,0
"CE McLeod (AUS)",1894-1905,17,29,5,573,112,23.87,1,4,5
"RS Morton (WI)",2005-2008,15,27,1,573,70*,22.03,0,4,1
"AB Agarkar (INDIA)",1998-2006,26,39,5,571,109*,16.79,1,0,9
"SB Doull (NZ)",1992-2000,32,50,11,570,46,14.61,0,0,10
"E Chigumbura (ZIM)",2004-2014,14,27,0,569,88,21.07,0,4,6
"GL Jessop (ENG)",1899-1912,18,26,0,569,104,21.88,1,3,3
"DAJ Bracewell (NZ)",2011-2016,27,45,4,568,47,13.85,0,0,11
"KA Maharaj (SA)",2016-2019,28,44,6,566,72,14.89,0,1,7
"Aamer Malik (PAK)",1987-1994,14,19,3,565,117,35.31,2,3,3
"EDAS McMorris (WI)",1958-1966,13,21,0,564,125,26.85,1,3,1
"GO Rabone (NZ)",1949-1955,12,20,2,562,107,31.22,1,2,0
"CV Grimmett (AUS)",1925-1936,37,50,10,557,50,13.92,0,1,7
"MF Maharoof (SL)",2004-2011,22,34,4,556,72,18.53,0,3,1
"GP Wickramasinghe (SL)",1991-2001,40,64,5,555,51,9.4,0,1,17
"SJE Loxton (AUS)",1948-1951,12,15,0,554,101,36.93,1,3,1
"N Wagner (NZ)",2012-2019,46,60,16,554,47,12.59,0,0,11
"SC Williams (ZIM)",2013-2018,10,20,0,553,119,27.65,1,2,0
"AG Chipperfield (AUS)",1934-1938,14,20,3,552,109,32.47,1,2,1
"B Kumar (INDIA)",2013-2018,21,29,4,552,63*,22.08,0,3,4
"D Lloyd (ENG)",1974-1975,9,15,2,552,214*,42.46,1,0,0
"S Amarnath (INDIA)",1976-1978,10,18,0,550,124,30.55,1,3,1
"M Dillon (WI)",1997-2004,38,68,3,549,43,8.44,0,0,26
"Iqbal Qasim (PAK)",1976-1988,50,57,15,549,56,13.07,0,1,10
"JM Vince (ENG)",2016-2018,13,22,0,548,83,24.9,0,3,2
"CB Llewellyn (SA)",1896-1912,15,28,1,544,90,20.14,0,4,6
"Shoaib Akhtar (PAK)",1997-2007,46,67,13,544,47,10.07,0,0,11
"WA Hadlee (NZ)",1937-1951,11,19,1,543,116,30.16,1,2,1
"ML Apte (INDIA)",1952-1953,7,13,2,542,163*,49.27,1,3,1
"AG Cremer (ZIM)",2005-2017,19,38,5,540,102*,16.36,1,0,7
"AU Rashid (ENG)",2015-2019,19,33,5,540,61,19.28,0,2,3
"LPC Silva (SL)",2006-2008,11,17,1,537,152*,33.56,1,2,3
"RA Harper (WI)",1983-1993,25,32,3,535,74,18.44,0,3,5
"RO Collinge (NZ)",1965-1978,35,50,13,533,68*,14.4,0,2,9
"PJ Moor (ZIM)",2016-2018,8,16,1,533,83,35.53,0,5,1
"PL van der Merwe (SA)",1963-1967,15,23,2,533,76,25.38,0,3,3
"NC Johnson (ZIM)",1998-2000,13,23,1,532,107,24.18,1,4,3
"HH Pandya (INDIA)",2017-2018,11,18,1,532,108,31.29,1,4,2
"S Ranatunga (SL)",1994-1997,9,17,1,531,118,33.18,2,2,1
"Aminul Islam (BDESH)",2000-2002,13,26,1,530,145,21.2,1,2,3
"CC Griffith (WI)",1960-1969,28,42,10,530,54,16.56,0,1,5
"DR Hadlee (NZ)",1969-1978,26,42,5,530,56,14.32,0,1,9
"LJ Tancred (SA)",1902-1913,14,26,1,530,97,21.2,0,2,5
"MD Stoneman (ENG)",2017-2018,11,20,1,526,60,27.68,0,5,1
"CL Vincent (SA)",1927-1935,25,38,12,526,60,20.23,0,2,4
"CS Serjeant (AUS)",1977-1978,12,23,1,522,124,23.72,1,2,4
"GR Dilley (ENG)",1979-1989,41,58,19,521,56,13.35,0,2,10
"Shahadat Hossain (BDESH)",2005-2015,38,69,17,521,40,10.01,0,0,10
"Nafees Iqbal (BDESH)",2004-2006,11,22,0,518,121,23.54,1,2,2
"GJ Bonnor (AUS)",1880-1888,17,30,0,512,128,17.06,1,2,5
"WW Wade (SA)",1938-1950,11,19,1,511,125,28.38,1,3,3
"WH Scotton (ENG)",1881-1887,15,25,2,510,90,22.17,0,3,2
"AJY Hopkins (AUS)",1902-1909,20,33,2,509,43,16.41,0,0,4
"BA Richards (SA)",1970-1970,4,7,0,508,140,72.57,2,2,0
"Maqsood Ahmed (PAK)",1952-1955,16,27,1,507,99,19.5,0,2,2
"JT Murray (ENG)",1961-1967,21,28,5,506,112,22,1,2,3
"RO Hinds (WI)",2002-2009,15,25,1,505,84,21.04,0,2,1
"BJ Hodge (AUS)",2005-2008,6,11,2,503,203*,55.88,1,2,0
"BK Shepherd (AUS)",1963-1965,9,14,2,502,96,41.83,0,5,1
"Taslim Arif (PAK)",1980-1980,6,10,2,501,210*,62.62,1,2,1
"ME Chapple (NZ)",1953-1966,14,27,1,497,76,19.11,0,3,2
"JB Bolus (ENG)",1963-1964,7,12,0,496,88,41.33,0,4,0
"W Larkins (ENG)",1980-1991,13,25,1,493,64,20.54,0,3,6
"ML Page (NZ)",1930-1937,14,20,0,492,104,24.6,1,2,1
"LR Gibbs (WI)",1958-1976,79,109,39,488,25,6.97,0,0,15
"Mohammad Sami (PAK)",2001-2012,36,56,14,487,49,11.59,0,0,8
"A Ward (ENG)",1893-1895,7,13,0,487,117,37.46,1,3,1
"SJ Benn (WI)",2008-2015,26,39,5,486,42,14.29,0,0,7
"FR Martin (WI)",1928-1931,9,18,1,486,123*,28.58,1,0,1
"Imam-ul-Haq (PAK)",2018-2019,11,21,2,485,76,25.52,0,3,3
"H Larwood (ENG)",1926-1933,21,28,3,485,98,19.4,0,2,4
"CE Pellew (AUS)",1920-1921,10,14,1,484,116,37.23,2,1,0
"GJ Gilmour (AUS)",1973-1977,15,22,1,483,101,23,1,3,3
"PR Sleep (AUS)",1979-1990,14,21,1,483,90,24.15,0,3,4
"CT Radley (ENG)",1978-1978,8,10,0,481,158,48.1,2,2,1
"Sabbir Rahman (BDESH)",2016-2018,11,22,2,481,66,24.05,0,4,5
"RH Spooner (ENG)",1905-1912,10,15,0,481,119,32.06,1,4,2
"BW Yuile (NZ)",1963-1969,17,33,6,481,64,17.81,0,1,3
"JED Sealy (WI)",1930-1939,11,19,2,478,92,28.11,0,3,2
"J Worrall (AUS)",1885-1899,11,22,3,478,76,25.15,0,5,2
"KTGD Prasad (SL)",2008-2015,25,39,2,476,47,12.86,0,0,8
"LS Darling (AUS)",1933-1937,12,18,1,474,85,27.88,0,3,2
"A Jackson (AUS)",1929-1931,8,11,1,474,164,47.4,1,2,1
"MJ Hoggard (ENG)",2000-2008,67,92,27,473,38,7.27,0,0,19
"TP Horan (AUS)",1877-1885,15,27,2,471,124,18.84,1,1,3
"SB Bangar (INDIA)",2001-2002,12,18,2,470,100*,29.37,1,3,2
"WKM Benjamin (WI)",1987-1995,21,26,1,470,85,18.8,0,2,4
"JT Brown (ENG)",1894-1899,8,16,3,470,140,36.15,1,1,2
"JN Crawford (ENG)",1906-1908,12,23,2,469,74,22.33,0,2,1
"AB Williams (WI)",1978-1979,7,12,0,469,111,39.08,2,1,1
"PM Nevill (AUS)",2015-2016,17,23,2,468,66,22.28,0,3,1
"GH Vihari (INDIA)",2018-2019,7,12,1,466,111,42.36,1,3,1
"BC Strang (ZIM)",1995-2001,26,45,9,465,53,12.91,0,1,8
"RJ Peterson (SA)",2003-2014,15,20,3,464,84,27.29,0,3,2
"JM Read (ENG)",1882-1893,17,29,2,461,57,17.07,0,2,3
"PL Harris (SA)",2007-2011,37,48,5,460,46,10.69,0,0,9
"PGV van der Bijl (SA)",1938-1939,5,9,0,460,125,51.11,1,2,0
"CL McCool (AUS)",1946-1950,14,17,4,459,104*,35.3,1,1,0
"TA Ward (SA)",1912-1924,23,42,9,459,64,13.9,0,2,5
"VJ Scott (NZ)",1946-1952,10,17,1,458,84,28.62,0,3,1
"A Cotter (AUS)",1904-1912,21,37,2,457,45,13.05,0,0,6
"AR Lewis (ENG)",1972-1973,9,16,2,457,125,32.64,1,3,2
"TE Blain (NZ)",1986-1994,11,20,3,456,78,26.82,0,2,2
"TM Moody (AUS)",1989-1992,8,14,0,456,106,32.57,2,3,1
"JM Blanckenberg (SA)",1913-1924,18,30,7,455,59,19.78,0,2,2
"DAS Gunaratne (SL)",2016-2017,6,10,2,455,116,56.87,1,3,1
"MD Moxon (ENG)",1986-1989,10,17,1,455,99,28.43,0,3,2
"BH Pairaudeau (WI)",1953-1957,13,21,0,454,115,21.61,1,3,3
"BH Valentine (ENG)",1933-1939,7,9,2,454,136,64.85,2,1,0
"B Wood (ENG)",1972-1978,12,21,0,454,90,21.61,0,2,1
"Mohammed Shami (INDIA)",2013-2019,47,60,19,453,51*,11.04,0,1,13
"Saeed Ajmal (PAK)",2009-2014,35,53,12,451,50,11,0,1,9
"MA Vermeulen (ZIM)",2002-2014,9,18,0,449,118,24.94,1,2,3
"WV Raman (INDIA)",1988-1997,11,19,1,448,96,24.88,0,4,4
"IS Sodhi (NZ)",2013-2018,17,25,4,448,63,21.33,0,3,4
"TR Ambrose (ENG)",2008-2009,11,16,1,447,102,29.8,1,3,2
"TJ Friend (ZIM)",2001-2004,13,19,4,447,81,29.8,0,3,4
"JL Hendriks (WI)",1962-1969,20,32,8,447,64,18.62,0,2,4
"CT Bancroft (AUS)",2017-2019,10,18,1,446,82*,26.23,0,3,1
"NA Foster (ENG)",1983-1993,29,45,7,446,39,11.73,0,0,9
"RJ Bright (AUS)",1977-1986,25,39,8,445,33,14.35,0,0,6
"MS Kasprowicz (AUS)",1996-2006,38,54,12,445,25,10.59,0,0,7
"CD Cumming (NZ)",2005-2008,11,19,2,441,74,25.94,0,1,1
"Mohammad Ilyas (PAK)",1964-1969,10,19,0,441,126,23.21,1,2,1
"JW Guy (NZ)",1955-1961,12,23,2,440,102,20.95,1,3,3
"RM Hogg (AUS)",1978-1984,38,58,13,439,52,9.75,0,1,14
"WM Wallace (NZ)",1937-1953,13,21,0,439,66,20.9,0,5,0
"A Chopra (INDIA)",2003-2004,10,19,0,437,60,23,0,2,1
"Saleem Elahi (PAK)",1995-2003,13,24,1,436,72,18.95,0,1,6
"RJ Ratnayake (SL)",1983-1992,23,36,6,433,56,14.43,0,2,5
"PL Taylor (AUS)",1987-1991,13,19,3,431,87,26.93,0,2,1
"AA Mallett (AUS)",1968-1980,38,50,13,430,43*,11.62,0,0,10
"AA Baig (INDIA)",1959-1967,10,18,0,428,112,23.77,1,2,1
"TB de Bruyn (SA)",2017-2019,12,23,1,428,101,19.45,1,0,2
"SP Jones (AUS)",1882-1888,12,24,4,428,87,21.4,0,1,3
"Imran Nazir (PAK)",1999-2002,8,13,0,427,131,32.84,2,1,3
"R Peel (ENG)",1884-1896,20,33,4,427,83,14.72,0,3,8
"PW Sherwell (SA)",1906-1911,13,22,4,427,115,23.72,1,1,1
"DR Tuffey (NZ)",2000-2010,26,36,10,427,80*,16.42,0,1,6
"NM Hauritz (AUS)",2004-2010,17,24,7,426,75,25.05,0,2,1
"DT Ring (AUS)",1948-1953,13,21,2,426,67,22.42,0,4,2
"PK Amre (INDIA)",1992-1993,11,13,3,425,103,42.5,1,3,0
"D Denton (ENG)",1905-1910,11,22,1,424,104,20.19,1,1,4
"RW Anderson (NZ)",1976-1978,9,18,0,423,92,23.5,0,3,1
"AG Kripal Singh (INDIA)",1955-1964,14,20,5,422,100*,28.13,1,2,4
"GG Arnold (ENG)",1967-1975,34,46,11,421,59,12.02,0,1,5
"RDB Croft (ENG)",1996-2001,21,34,8,421,37*,16.19,0,0,2
"HG Vivian (NZ)",1931-1937,7,10,0,421,100,42.1,1,5,0
"RB Desai (INDIA)",1959-1968,28,44,13,418,85,13.48,0,1,8
"CK Kapugedera (SL)",2006-2009,8,15,3,418,96,34.83,0,4,1
"CL King (WI)",1976-1980,9,16,3,418,100*,32.15,1,2,3
"Naeem Islam (BDESH)",2008-2012,8,15,2,416,108,32,1,1,0
"AE Relf (ENG)",1903-1914,13,21,3,416,63,23.11,0,1,1
"GL Weir (NZ)",1930-1937,11,16,2,416,74*,29.71,0,3,1
"JL Pattinson (AUS)",2011-2019,20,24,9,415,47*,27.66,0,0,2
"GC Grant (WI)",1930-1935,12,22,6,413,71*,25.81,0,3,1
"AG Fairfax (AUS)",1929-1931,10,12,4,410,65,51.25,0,4,0
"WJ O'Reilly (AUS)",1932-1946,27,39,7,410,56*,12.81,0,1,6
"AH Bakewell (ENG)",1931-1935,6,9,0,409,107,45.44,1,3,0
"DJ Insole (ENG)",1950-1957,9,17,2,408,110*,27.2,1,1,2
"DBL Powell (WI)",2002-2009,37,57,5,407,36*,7.82,0,0,15
"DS de Silva (SL)",1982-1984,12,22,3,406,61,21.36,0,2,3
"JH Hampshire (ENG)",1969-1975,8,16,1,403,107,26.86,1,2,2
"LR Johnson (WI)",2014-2016,9,16,0,403,66,25.18,0,2,2
"AJ Richardson (AUS)",1924-1926,9,13,0,403,100,31,1,2,1
"NS Yadav (INDIA)",1979-1987,35,40,12,403,43,14.39,0,0,4
"JR Hazlewood (AUS)",2014-2019,51,62,29,402,39,12.18,0,0,10
"TL Best (WI)",2003-2013,25,38,6,401,95,12.53,0,1,9
"KE Rigg (AUS)",1931-1937,8,12,0,401,127,33.41,1,1,0
"BN Jarman (AUS)",1959-1969,19,30,3,400,78,14.81,0,2,5
"NBF Mann (SA)",1947-1951,19,31,1,400,52,13.33,0,1,4
"M van Jaarsveld (SA)",2002-2004,9,15,2,397,73,30.53,0,3,0
"C Sharma (INDIA)",1984-1989,23,27,9,396,54,22,0,1,2
"Abdur Rehman (PAK)",2007-2014,22,31,3,395,60,14.1,0,2,4
"JW Gleeson (AUS)",1967-1972,29,46,8,395,45,10.39,0,0,11
"Shujauddin (PAK)",1954-1962,19,32,6,395,47,15.19,0,0,3
"S van Zyl (SA)",2014-2016,12,17,2,395,101*,26.33,1,0,2
"JEF Beck (NZ)",1953-1956,8,15,0,394,99,26.26,0,3,1
"FH Edwards (WI)",2003-2012,55,88,28,394,30,6.56,0,0,19
"SJ Rixon (AUS)",1977-1985,13,24,3,394,54,18.76,0,2,4
"D Tallon (AUS)",1946-1953,21,26,3,394,92,17.13,0,2,3
"W Gunn (ENG)",1887-1899,11,20,2,392,102*,21.77,1,1,1
"CL Smith (ENG)",1983-1986,8,14,1,392,91,30.15,0,2,1
